Script started on Tue May 23 18:48:17 2017
bash-3.2$ exitclearat g000.csvbash-3.2$ ls[Kscreen /dev/tty.G-Rays1-SPPslave
[?1h=[0m(B[1;24r[H[J[H[J5.700,A,3540.4432,N,13943.1907,E,0.64,242.29,230517,,,A*6F
$GPRMC,095017.700,A,3540.5533,N,13943.0519,E,7.56,339.67,230517,,,A*6E
$GPRMC,095017.800,A,3540.5534,N,13943.0519,E,7.43,339.87,230517,,,A*6C
$GPRMC,095017.900,A,3540.5536,N,13943.0518,E,7.31,340.04,230517,,,A*6E
$GPRMC,095018.000,A,3540.5538,N,13943.0518,E,7.20,340.03,230517,,,A*61
$GPRMC,095018.100,A,3540.5539,N,13943.0516,E,7.04,339.10,230517,,,A*65
$GPRMC,095018.200,A,3540.5540,N,13943.0516,E,6.95,339.20,230517,,,A*62
$GPRMC,095018.300,A,3540.5542,N,13943.0515,E,6.85,338.91,230517,,,A*68
$GPRMC,095018.400,A,3540.5544,N,13943.0514,E,6.81,339.01,230517,,,A*64
$GPRMC,095018.500,A,3540.5545,N,13943.0513,E,6.73,338.97,230517,,,A*60
$GPRMC,095018.600,A,3540.5547,N,13943.0513,E,6.68,339.04,230517,,,A*60
$GPRMC,095018.700,A,3540.5549,N,13943.0512,E,6.66,339.55,230517,,,A*64
$GPRMC,095018.800,A,3540.5551,N,13943.0511,E,6.60,338.87,230517,,,A*69
$GPRMC,095018.900,A,3540.5553,N,13943.0511,E,6.57,338.74,230517,,,A*62
$GPRMC,095019.000,A,3540.5554,N,13943.0510,E,6.56,338.67,230517,,,A*6F
$GPRMC,095019.100,A,3540.5556,N,13943.0509,E,6.55,338.43,230517,,,A*61
$GPRMC,095019.200,A,3540.5558,N,13943.0508,E,6.55,338.38,230517,,,A*61
$GPRMC,095019.300,A,3540.5560,N,13943.0507,E,6.55,337.81,230517,,,A*69
$GPRMC,095019.400,A,3540.5562,N,13943.0507,E,6.58,337.54,230517,,,A*69
$GPRMC,095019.500,A,3540.5565,N,13943.0506,E,6.63,337.47,230517,,,A*64
$GPRMC,095019.600,A,3540.5567,N,13943.0505,E,6.67,337.19,230517,,,A*69
$GPRMC,095019.700,A,3540.5569,N,13943.0504,E,6.72,336.89,230517,,,A*6B
$GPRMC,095019.800,A,3540.5571,N,13943.0503,E,6.77,336.54,230517,,,A*6F
$GPRMC,095019.900,A,3540.5573,N,13943.0502,E,6.85,335.86,230517,,,A*6C
$GPRMC,095020.000,A,3540.5575,N,13943.0500,E,6.94,335.51,230517,,,A*61
$GPRMC,095020.100,A,3540.5578,N,13943.0499,E,7.02,335.25,230517,,,A*61
$GPRMC,095020.200,A,3540.5580,N,13943.0498,E,7.13,334.75,230517,,,A*60
